id,name,totalUnits,residentsCount,lat,lng
675,425 E 63rd St,240,28,40.7617185,-73.9587133
676,315 W 33rd St,334,149,40.7520079,-73.9946488
677,205 3rd Ave,335,40,40.735952,-73.9847706
678,225 W 83rd St,232,46,40.7862189,-73.9771931
679,200 Riverside Blvd,365,48,40.778991,-73.987686
680,21 S End Ave,164,22,40.7081291,-74.0177891
681,420 E 55th St,238,24,40.7562471,-73.9625705
682,301 E 22nd St,236,40,40.7371253,-73.9806613
687,575 Main St,400,25,40.7621877,-73.9501997
688,340 E 64th St,292,52,40.7631464,-73.9610896
689,230 E 44th St,156,37,40.7512954,-73.972218
690,235 E 22nd St,334,58,40.7374929,-73.9815861
691,77 E 12th St,175,28,40.7330663,-73.9902428
692,180 W End Ave,433,50,40.7774246,-73.98562
693,305 E 24th St,368,23,40.7384804,-73.9799178
694,347 W 57th St,237,33,40.7677694,-73.9847375
695,303 E 83rd St,261,29,40.775974,-73.952787
696,400 W 37th St,259,62,40.7553673,-73.9954545
697,160 W 24th St,198,59,40.7445675,-73.9949325
698,150 E 34th St,251,101,40.7459079,-73.9792649
699,50 W 34th St,691,863,40.7494946,-73.9874055
700,30 W St,215,25,40.706342,-74.0169905
701,520 E 72nd St,247,30,40.7662447,-73.9527271
702,800 Grand Concourse,202,31,40.8248699,-73.9229829
703,200 E 27th St,347,28,40.7409294,-73.9807589
704,243 W End Ave,187,37,40.7793881,-73.9851838
705,160 W End Ave,517,41,40.7762562,-73.9849534
707,3 Hanover Sq,202,18,40.7049944,-74.0096537
708,333 E 66th St,185,24,40.7644155,-73.95918
713,4610 Center Blvd,584,260,40.747355,-73.9570481
714,4545 Center Blvd,785,543,40.7477797,-73.9559199
715,60 E 9th St,210,44,40.7312988,-73.9924901
716,345 W 145th St,198,72,40.8240342,-73.9440087
717,41 W 86th St,163,25,40.7863063,-73.9710192
718,155 E 34th St,331,84,40.746232,-73.978689
719,100 Overlook Terrace,168,25,40.8562351,-73.9349388
720,77 W 55th St,187,40,40.7630485,-73.9776229
721,529 W 42nd St,151,29,40.7604194,-73.9968086
722,16 W 16th St,462,27,40.7375086,-73.9937004
723,301 W 110th St,259,13,40.8010368,-73.9585297
724,360 E 72nd St,458,38,40.767678,-73.9563011
725,30 River Court,441,233,40.7276933,-74.0308221
727,601 W 57th St,597,199,40.7707083,-73.9919298
728,450 W 42nd St,500,83,40.7589911,-73.9949015
730,525 E 72 St,414,74,40.7663025,-73.9520332
731,340 E 117th St,90,16,40.796568,-73.9353275
732,114 Troutman St,144,13,40.6996798,-73.9291393
734,1-50 50th Ave,925,160,40.7434794,-73.9590478
735,140 W 69th St,208,28,40.7759761,-73.9816788
736,260 Gold St,216,74,40.6966259,-73.9833434
737,49 E 34th St,110,22,40.7476357,-73.9821739
738,175 E 96th St,479,98,40.7857569,-73.9492538
739,360 W 22nd St,215,10,40.7455051,-74.0016003
740,444 E 86th St,306,40,40.7759725,-73.9478532
